,source,text,date,compound_score,pos_score,neu_score,neg_score
0,Fox News,Under Armour: 150 million MyFitnessPal accounts were hacked https://t.co/RVgdieUSTM,Fri Mar 30 16:47:06 +0000 2018,-0.4019,0.0,0.748,0.252
1,Fox News,".@JessicaTarlov: ""With Jeff Sessions having recused himself from the Russia investigation, which I know aggravates… https://t.co/qO9exfurzP",Fri Mar 30 16:37:53 +0000 2018,0.0,0.0,1.0,0.0
2,Fox News,"Nearly 300,000 VW diesels are sitting in lots across the U.S. https://t.co/LUKtjFCenW",Fri Mar 30 16:33:59 +0000 2018,0.0,0.0,1.0,0.0
3,Fox News,".@LisaMarieBoothe: ""I don't know what changed from 2006 when you had people like Sen. Dianne Feinstein,… https://t.co/RYAqrflX6s",Fri Mar 30 16:22:48 +0000 2018,0.3612,0.135,0.865,0.0
4,Fox News,".@davidwebbshow: ""Tell me a case where a wall doesn't work where it's needed. You can't."" #Outnumbered https://t.co/gUn1QikwOr",Fri Mar 30 16:20:13 +0000 2018,0.0,0.0,1.0,0.0
5,Fox News,".@POTUS, yesterday: ""We spend billions of dollars in other countries maintaining their borders and we can't maintai… https://t.co/aicqqdYdUb",Fri Mar 30 16:16:40 +0000 2018,0.0,0.0,1.0,0.0
6,Fox News,".@LisaMarieBoothe: ""All we've been hearing about is: '@POTUS needs to get tougher on Russia, tougher on Russia.' An… https://t.co/9rK5tKWqUB",Fri Mar 30 16:10:56 +0000 2018,0.34,0.167,0.833,0.0
7,Fox News,Pilot kisses ground after emergency landing in Florida https://t.co/YvYHKYRUio https://t.co/Y7sSRxmtko,Fri Mar 30 16:10:25 +0000 2018,0.1779,0.237,0.576,0.187
8,Fox News,".@davidwebbshow: ""Russia's really playing a game of trying to play the victim."" #Outnumbered https://t.co/n5pqoDYzWh",Fri Mar 30 16:05:19 +0000 2018,0.5413,0.29,0.71,0.0
9,Fox News,"RT @FoxBusiness: .@McDonalds expands worker tuition benefits, citing tax law https://t.co/RXbVuYIdxI https://t.co/UQ9EKbW10y",Fri Mar 30 15:58:45 +0000 2018,0.4588,0.286,0.714,0.0
